CITY,POPULATION,LATITUDE,LONGITUDE
NewYork,8537673,40.6635,73.9387
LosAngeles,3976322,34.0194,118.4108
Chicago,2704958,41.8376,87.6818
Houston,2303482,29.7866,95.3909
Phoenix,1615017,33.5722,112.0901
Philadelphia,1567872,40.0094,75.1333
SanAntonio,1492510,29.4724,98.5251
SanDiego,1406630,32.8153,117.135
Dallas,1317929,32.7933,96.7665
SanJose,1025350,37.2967,121.8189
Austin,947890,30.3039,97.7544
Jacksonville,880619,30.3369,81.6616
SanFrancisco,870887,37.7272,123.0322
Columbus,860090,39.9852,82.9848
Indianapolis,855164,39.7767,86.1459
FortWorth,854113,32.7815,97.3467
Charlotte,842051,35.2078,80.831
Seattle,704352,47.6205,122.3509
Denver,693060,39.7619,104.8811
ElPaso,683080,31.8484,106.427
Washington,681170,38.9041,77.0172
Boston,673184,42.332,71.0202
Detroit,672795,42.383,83.1022
Nashville,660388,36.1718,86.785
Memphis,652717,35.1028,89.9774
Portland,639863,45.537,122.65
OklahomaCity,638367,35.4671,97.5137
LasVegas,632912,36.2292,115.2601
Louisville,616261,38.1654,85.6474
Baltimore,614664,39.3,76.6105
Milwaukee,595047,43.0633,87.9667
Albuquerque,559277,35.1056,106.6474
Tucson,530706,32.1531,110.8706
Fresno,522053,36.7836,119.7934
Sacramento,495234,38.5666,121.4686
Mesa,484587,33.4019,111.7174
KansasCity,481420,39.1251,94.551
Atlanta,472522,33.7629,84.4227
LongBeach,470130,33.8092,118.1553
ColoradoSprings,465101,38.8673,104.7607
Raleigh,458880,35.8306,78.6418
Miami,453579,25.7752,80.2086
VirginiaBeach,452602,36.78,76.0252
Omaha,446970,41.2644,96.0451
Oakland,420005,37.7698,122.2257
Minneapolis,413651,44.9633,93.2683
Tulsa,403090,36.1279,95.9023
Arlington,392772,32.7007,97.1247
NewOrleans,391495,30.0534,89.9345
Wichita,389902,37.6907,97.3459
Cleveland,385809,41.4785,81.6794
Tampa,377165,27.9701,82.4797
Bakersfield,376380,35.3212,119.0183
Aurora,361710,39.688,104.6897
Honolulu,351792,21.3243,157.8476
Anaheim,351043,33.8555,117.7601
SantaAna,334217,33.7363,117.883
CorpusChristi,325733,27.7543,97.1734
Riverside,324722,33.9381,117.3932
Lexington,318449,38.0407,84.4583
St.Louis,311404,38.6357,90.2446
Stockton,307072,37.9763,121.3133
Pittsburgh,303625,40.4398,79.9766
SaintPaul,302398,44.9489,93.1041
Cincinnati,298800,39.1402,84.5058
Anchorage,298192,61.1743,149.2843
Henderson,292969,36.0097,115.0357
Greensboro,287027,36.0951,79.827
Plano,286057,33.0508,96.7479
Newark,281764,40.7242,74.1726
Lincoln,280364,40.8105,96.6803
Toledo,278508,41.6641,83.5819
Orlando,277173,28.4166,81.2736
ChulaVista,267172,32.6277,117.0152
Irvine,266122,33.6784,117.7713
FortWayne,264488,41.0882,85.1439
JerseyCity,264152,40.7114,74.0648
Durham,263016,35.9811,78.9029
St.Petersburg,260999,27.762,82.6441
Laredo,257156,27.5604,99.4892
Buffalo,256902,42.8925,78.8597
Madison,252551,43.0878,89.4299
Lubbock,252506,33.5656,101.8867
Chandler,247477,33.2829,111.8549
Scottsdale,246645,33.6843,111.8611
Glendale,245895,33.5331,112.1899
Reno,245255,39.5491,119.8499
Norfolk,245115,36.923,76.2446
Winston–Salem,242203,36.1027,80.261
NorthLasVegas,238702,36.2857,115.0939
Irving,238289,32.8577,96.97
Chesapeake,237940,36.6794,76.3018
